Categoria,Mês/Ano,Valor
Alimentação,2025-08,"400,00"
Assinaturas,2025-08,"600,00"
Autocuidado,2025-08,"200,00"
Cigarro,2025-08,"0,01"
Compras & Presentes,2025-08,"700,00"
Fatura de Cartão,2025-08,"3.000,00"
Investimentos,2025-08,"2.000,00"
Moradia,2025-08,"2.300,00"
Outros Gastos,2025-08,"200,00"
Parcelamentos,2025-08,"700,00"
Rolê,2025-08,"800,00"
Saúde,2025-08,"600,00"
Supermercado,2025-08,"600,00"
Transporte,2025-08,"200,00"
Viagem,2025-08,"400,00"
Alimentação,2025-09,"400,00"
Assinaturas,2025-09,"600,00"
Autocuidado,2025-09,"200,00"
Cigarro,2025-09,"0,01"
Compras & Presentes,2025-09,"700,00"
Fatura de Cartão,2025-09,"4.000,00"
Investimentos,2025-09,"2.000,00"
Moradia,2025-09,"2.300,00"
Outros Gastos,2025-09,"200,00"
Parcelamentos,2025-09,"700,00"
Rolê,2025-09,"800,00"
Saúde,2025-09,"600,00"
Supermercado,2025-09,"600,00"
Transporte,2025-09,"200,00"
Viagem,2025-09,"400,00"
Alimentação,2025-10,"400,00"
Assinaturas,2025-10,"607,05"
Autocuidado,2025-10,"200,00"
Cigarro,2025-10,"0,01"
Compras & Presentes,2025-10,"700,00"
Fatura de Cartão,2025-10,"4.000,00"
Investimentos,2025-10,"1.600,00"
Moradia,2025-10,"2.300,00"
Outros Gastos,2025-10,"200,00"
Parcelamentos,2025-10,"700,00"
Rolê,2025-10,"800,00"
Saúde,2025-10,"600,00"
Supermercado,2025-10,"600,00"
Transporte,2025-10,"200,00"
Viagem,2025-10,"400,00"
Roupas,2025-10,"400,00"
Alimentação,2025-12,"400,00"
Assinaturas,2025-12,"607,05"
Autocuidado,2025-12,"200,00"
Cigarro,2025-12,"0,01"
Compras & Presentes,2025-12,"700,00"
Fatura de Cartão,2025-12,"4.000,00"
Investimentos,2025-12,"1.600,00"
Moradia,2025-12,"2.300,00"
Outros Gastos,2025-12,"200,00"
Parcelamentos,2025-12,"700,00"
Rolê,2025-12,"800,00"
Saúde,2025-12,"600,00"
Supermercado,2025-12,"600,00"
Transporte,2025-12,"200,00"
Viagem,2025-12,"400,00"
Roupas,2025-12,"400,00"
Alimentação,2025-11,"400,00"
Assinaturas,2025-11,"607,05"
Autocuidado,2025-11,"200,00"
Cigarro,2025-11,"0,01"
Compras & Presentes,2025-11,"700,00"
Fatura de Cartão,2025-11,"4.000,00"
Impostos,2025-11,"1.000,00"
Investimentos,2025-11,"1.600,00"
Moradia,2025-11,"2.300,00"
Outros Gastos,2025-11,"200,00"
Parcelamentos,2025-11,"700,00"
Rolê,2025-11,"800,00"
Roupas,2025-11,"400,00"
Saúde,2025-11,"600,00"
Supermercado,2025-11,"600,00"
Transporte,2025-11,"200,00"
Viagem,2025-11,"400,00"
Alimentação,2026-01,"300,00"
Assinaturas,2026-01,"450,00"
Autocuidado,2026-01,"100,00"
Carnaval,2026-01,"1.500,00"
Cigarro,2026-01,"0,01"
Compras & Presentes,2026-01,"400,00"
Fatura de Cartão,2026-01,"2.000,00"
Moradia,2026-01,"2.300,00"
Parcelamentos,2026-01,"400,00"
Rolê,2026-01,"400,00"
Roupas,2026-01,"100,00"
Saúde,2026-01,"600,00"
Supermercado,2026-01,"600,00"
Transporte,2026-01,"200,00"
Alimentação,2026-02,"300,00"
Assinaturas,2026-02,"450,00"
Autocuidado,2026-02,"100,00"
Cigarro,2026-02,"0,01"
Compras & Presentes,2026-02,"400,00"
Fatura de Cartão,2026-02,"2.000,00"
Moradia,2026-02,"2.300,00"
Parcelamentos,2026-02,"400,00"
Rolê,2026-02,"400,00"
Roupas,2026-02,"100,00"
Saúde,2026-02,"600,00"
Supermercado,2026-02,"600,00"
Transporte,2026-02,"200,00"
Alimentação,2026-03,"300,00"
Assinaturas,2026-03,"450,00"
Autocuidado,2026-03,"100,00"
Cigarro,2026-03,"0,01"
Compras & Presentes,2026-03,"400,00"
Fatura de Cartão,2026-03,"2.000,00"
Loteria,2026-03,"50,00"
Moradia,2026-03,"2.300,00"
Parcelamentos,2026-03,"400,00"
Rolê,2026-03,"400,00"
Roupas,2026-03,"100,00"
Saúde,2026-03,"600,00"
Supermercado,2026-03,"600,00"
Transporte,2026-03,"200,00"
Alimentação,2026-04,"300,00"
Assinaturas,2026-04,"450,00"
Autocuidado,2026-04,"100,00"
Cigarro,2026-04,"0,01"
Compras & Presentes,2026-04,"400,00"
Fatura de Cartão,2026-04,"2.000,00"
Loteria,2026-04,"50,00"
Moradia,2026-04,"2.300,00"
Parcelamentos,2026-04,"400,00"
Rolê,2026-04,"400,00"
Roupas,2026-04,"100,00"
Saúde,2026-04,"600,00"
