Data,Descrição,Valor,Conta,Categoria,Tipo
2027-06-01,Salário,"5.837,18",Conta corrente ,Salário,Receita
2027-05-17,wellhub da artemis ,"293,30",Itaú Black,Outros Gastos,Despesa
2027-05-15,ovos,"53,50",Itaú Black,Supermercado,Despesa
2027-05-01,Salário,"5.837,18",Conta corrente ,Salário,Receita
2027-04-17,wellhub da artemis ,"293,30",Itaú Black,Outros Gastos,Despesa
2027-04-15,ovos,"53,50",Itaú Black,Supermercado,Despesa
2027-04-01,Salário,"5.837,18",Conta corrente ,Salário,Receita
2027-03-17,wellhub da artemis ,"293,30",Itaú Black,Outros Gastos,Despesa
2027-03-15,ovos,"53,50",Itaú Black,Supermercado,Despesa
2027-03-01,Salário,"5.837,18",Conta corrente ,Salário,Receita
2027-02-17,wellhub da artemis ,"293,30",Itaú Black,Outros Gastos,Despesa
2027-02-15,ovos,"53,50",Itaú Black,Supermercado,Despesa
2027-02-01,Salário,"5.837,18",Conta corrente ,Salário,Receita
2027-01-17,wellhub da artemis ,"293,30",Itaú Black,Outros Gastos,Despesa
2027-01-15,ovos,"53,50",Itaú Black,Supermercado,Despesa
2027-01-01,Salário,"5.837,18",Conta corrente ,Salário,Receita
2027-01-01,aluguel,"1.359,50",Conta corrente ,Moradia,Despesa
2026-12-18,fone jbl,"36,35",Itaú Black,Compras & Presentes,Despesa
2026-12-17,wellhub da artemis ,"293,30",Itaú Black,Outros Gastos,Despesa
2026-12-15,ovos,"53,50",Itaú Black,Supermercado,Despesa
2026-12-07,cursos para concurso ,"49,90",Itaú Black,Educação,Despesa
2026-12-01,Salário,"5.837,18",Conta corrente ,Salário,Receita
2026-12-01,aluguel,"1.359,50",Conta corrente ,Moradia,Despesa
2026-11-29,cafeteira para a DCOM (vou receber de volta),"18,19",Itaú Black,Compras & Presentes,Despesa
2026-11-18,fone jbl,"36,35",Itaú Black,Compras & Presentes,Despesa
2026-11-17,wellhub da artemis ,"293,30",Itaú Black,Outros Gastos,Despesa
2026-11-17,apple one,"17,80",Itaú Black,Assinaturas,Despesa
2026-11-15,ovos,"53,50",Itaú Black,Supermercado,Despesa
2026-11-08,prime,"13,90",Itaú Black,Assinaturas,Despesa
2026-11-07,uber one,"19,90",Itaú Black,Assinaturas,Despesa
2026-11-07,cursos para concurso ,"49,90",Itaú Black,Educação,Despesa
2026-11-05,chatgpt,"39,90",Itaú Black,Assinaturas,Despesa
2026-11-01,Salário,"5.837,18",Conta corrente ,Salário,Receita
2026-11-01,aluguel,"1.359,50",Conta corrente ,Moradia,Despesa
2026-10-29,cafeteira para a DCOM (vou receber de volta),"18,19",Itaú Black,Compras & Presentes,Despesa
2026-10-18,fone jbl,"36,35",Itaú Black,Compras & Presentes,Despesa
2026-10-17,wellhub da artemis ,"293,30",Itaú Black,Outros Gastos,Despesa
2026-10-17,apple one,"17,80",Itaú Black,Assinaturas,Despesa
2026-10-17,wellhub,"137,50",Itaú Black,Assinaturas,Despesa
2026-10-15,ovos,"53,50",Itaú Black,Supermercado,Despesa
2026-10-10,internet,"96,78",Conta corrente ,Moradia,Despesa
2026-10-10,clube,"180,00",Conta corrente ,Assinaturas,Despesa
2026-10-08,prime,"13,90",Itaú Black,Assinaturas,Despesa
2026-10-07,uber one,"19,90",Itaú Black,Assinaturas,Despesa
2026-10-07,cursos para concurso ,"49,90",Itaú Black,Educação,Despesa
2026-10-05,chatgpt,"99,90",Itaú Black,Assinaturas,Despesa
2026-10-01,xou da xuxa,"61,68",Itaú Black,Rolê,Despesa
2026-10-01,xou da xuxa,"57,08",Itaú Black,Rolê,Despesa
2026-10-01,Salário,"5.837,18",Conta corrente ,Salário,Receita
2026-10-01,aluguel,"1.359,50",Conta corrente ,Moradia,Despesa
2026-10-01,iptu,"154,10",Conta corrente ,Moradia,Despesa
2026-09-29,cafeteira para a DCOM (vou receber de volta),"18,19",Itaú Black,Compras & Presentes,Despesa
2026-09-18,fone jbl,"36,36",Itaú Black,Compras & Presentes,Despesa
2026-09-17,wellhub da artemis ,"293,30",Itaú Black,Outros Gastos,Despesa
2026-09-17,apple one,"17,80",Itaú Black,Assinaturas,Despesa
2026-09-17,wellhub,"137,50",Itaú Black,Assinaturas,Despesa
2026-09-15,ovos,"53,50",Itaú Black,Supermercado,Despesa
2026-09-10,internet,"96,78",Conta corrente ,Moradia,Despesa
2026-09-10,clube,"180,00",Conta corrente ,Assinaturas,Despesa
2026-09-08,prime,"13,90",Itaú Black,Assinaturas,Despesa
